ibfa_001_0001saya suka baju yang berwarna merah tua                                                           
ibfa_001_0065roti di meja ini sudah basi  sebaiknya di buang                                                  
ibfa_001_0066liburan kemarin  aku tidak bisa pulang kampung                                                   
ibfa_001_0067kemarin  aku menghadiri pesta ulang tahun  temanku                                               
ibfa_001_0068ibu membaca majalah masakan  di ruang tamu                                                       
ibfa_001_0069ibu berlangganan majalah masakan  yang terbit setiap pekan                                       
ibfa_001_0070kakak menyapu lantai rumah  sebelum ke kampus                                                    
ibfa_001_0071adik menyapu halaman  kemudian mengepel lantai rumah                                             
ibfa_001_0072saya berangkat ke kampus  naik sepeda motor                                                      
ibfa_001_0073mereka jalan kaki ke pasar minggu  pada pagi hari                                                
ibfa_001_0074banyak semut hitam  di meja makan rumah                                                          
ibfa_001_0075uang yang kamu temukan ini  bukan milikku                                                        
ibfa_001_0076saudaraku kesana kemari  mencari pekerjaan                                                       
ibfa_001_0077aku ingin berteriak keras  di tepi pantai                                                        
ibfa_001_0078paman pergi ke kota  sejak pagi tadi                                                             
ibfa_001_0079ibu menjemur baju  di belakang rumah                                                             
ibfa_001_0080rumahku di tepi jalan raya utama  kota ini                                                       
ibfa_001_0081kakak dan ayah minum kopi  di dapur                                                              
ibfa_001_0082hari ini aku memakai baju warna cerah                                                            
ibfa_001_0083lusa adalah hari libur  aku akan jalan-jalan                                                     
ibfa_001_0084tas yang dia bawa sekolah  berat sekali                                                          
ibfa_001_0085adik minum setengah gelas  jus apel                                                              
ibfa_001_0086meja di rumah nenek  sudah lapuk                                                                 
ibfa_001_0087bunga-bunga yang kutanam  mekar di taman                                                         
ibfa_001_0088permainan itu  membuat kita belajar sambil bermain                                               
ibfa_001_0089paman dan bibi bekerja di kota sebelah                                                           
ibfa_001_0090kota ini masih sepi  dua tahun yang lalu                                                         
ibfa_001_0091hutan ini dulunya  masih penuh pepohonan                                                         
ibfa_001_0092maklumlah  manusia tempat salah dan lupa                                                         
ibfa_001_0093dompetnya yang hilang kemarin  belum ketemu juga                                                 
ibfa_001_0094hotel itu  menawarkan pelayanan yang ramah                                                       
ibfa_001_0095mengawali hari yang cerah  dengan senyuman                                                       
ibfa_001_0096semenjak kecil  dia takut gelapnya malam                                                         
ibfa_001_0097malam ini  banyak bintang di langit                                                              
ibfa_001_0098hujan pagi ini  turun dengan derasnya                                                            
ibfa_001_0099ibu guruku  selalu naik sepeda ke sekolah                                                        
ibfa_001_0100banjir menerjang beberapa sekolahan  di desa kami                                                
ibfa_001_0101dilarang membuang sampah sembarangan  di lingkungan sekolah                                      
ibfa_001_0102ibu melarang membeli jajan  di pinggir jalan                                                     
ibfa_001_0103pemerintah membuat dan mengesahkan peraturan baru lagi                                           
ibfa_001_0104baru saja  tukang bakso lewat depan rumah                                                        
ibfa_001_0105setiap hari  kita wajib minum air putih                                                          
ibfa_001_0106persediaan bahan pangan di desa  mulai habis                                                     
ibfa_001_0107kertas-kertas itu  berhamburan keluar dari tas                                                   
ibfa_001_0108baju baruku dari kakak  berwarna biru                                                            
ibfa_001_0109gelang yang dipakai itu  terbuat dari emas                                                       
ibfa_001_0110dia sudah bekerja  di perusahaan minyak                                                          
ibfa_001_0111persediaan minyak bumi di dunia  sudah menipis                                                   
ibfa_001_0112kita harus mencari energi alternatif terbarukan                                                  
ibfa_001_0113mereka  belajar kelompok  dua hari sekali                                                        
ibfa_001_0114masing-masing kelompok  ada enam anggota                                                         
ibfa_001_0115wajah gadis itu  putih berseri-seri                                                              
ibfa_001_0116awali harimu dengan senyuman  dan doa                                                            
ibfa_001_0117gigiku copot  gara-gara jatuh kemarin                                                            
ibfa_001_0118dokter itu sedang dinas  di luar kota                                                            
ibfa_001_0119sekarang  banyak paket-paket pariwisata murah                                                    
ibfa_001_0120aku ingin keliling dunia  suatu hari nanti                                                       
ibfa_001_0121sore ini  aku bersepeda keliling desa                                                            
ibfa_001_0122bunga-bunga sakura  mekar di musim semi                                                          
ibfa_001_0123belajar itu  tidak mengenal usia dan waktu                                                       
ibfa_001_0124adik sedang belajar menggambar kupu-kupu                                                         
ibfa_001_0125di taman  banyak kupu-kupu warna-warni                                                           
ibfa_001_0126buku-buku itu  berserakan di lantai                                                              
ibfa_001_0127malam ini  tampak bintang-bintang di langit                                                      
ibfa_001_0128rumah itu kosong  sejak dua bulan kemarin                                                        
ibfa_001_0129tahun ini  akan terjadi gerhana bulan sebagian                                                   
ibfa_001_0130berdoalah sebelum memulai aktivitasmu  hari ini                                                  
ibfa_001_0131toko buku itu  tutup jam sepuluh malam                                                           
ibfa_001_0132perempuan tua itu  adalah ibu kandungnya                                                         
ibfa_001_0133ikan badut itu mencari anaknya  ke mana-mana                                                     
ibfa_001_0134kata peribahasa  seperti pungguk merindukan bulan                                                
ibfa_001_0135orang tua sangat berjasa dalam hidup kita                                                        
ibfa_001_0136kita tidak dapat hidup tanpa udara                                                               
ibfa_001_0137bumi ini  setiap hari berotasi dan berevolusi                                                    
ibfa_001_0138hormatilah para pejuang tanah air kita                                                           
ibfa_001_0139kita harus menjaga kehormatan bangsa kita                                                        
ibfa_001_0140setiap awal bulan  saya pulang kampung                                                           
ibfa_001_0141nenek masih suka jalan-jalan  di pagi hari                                                       
ibfa_001_0142tidak ada manusia yang benar-benar sempurna                                                      
ibfa_001_0143pagi tadi  hujan turun dengan derasnya walau sebentar                                            
ibfa_001_0144siang ini  aku tidak bisa tidur                                                                  
ibfa_001_0145dia tinggal di bawah jembatan layang                                                             
ibfa_001_0146acara pernikahannya  akan dilaksanakan di hotel                                                  
ibfa_001_0147dia akan menikah  dengan orang asing                                                             
ibfa_001_0148sudah lama dia tidak pulang ke sini                                                              
ibfa_001_0149surga ada di bawah telapak kaki ibu                                                              
ibfa_001_0150ayah pergi ke kota  selama dua hari                                                              
ibfa_001_0151dia akan membawaku ke rumahnya  besok                                                            
ibfa_001_0152rumahnya  terletak di ujung jalan kecil ini                                                      
ibfa_001_0153jalan tembus itu  sempit dan licin sekali                                                        
ibfa_001_0154tempat ini bersejarah  bagi bangsa ini                                                           
ibfa_001_0155orang tua  harus memperhatikan perkembangan anak                                                 
ibfa_001_0156dia melanggar peraturan sekolah  untuk ketiga kalinya                                            
ibfa_001_0157anak itu memang bandel  dan keras kepala                                                         
ibfa_001_0158setiap hari aku belajar  supaya naik kelas                                                       
ibfa_001_0159daerah itu  sering terkena banjir bandang                                                        
ibfa_001_0160sekarang  kemarau panjang melanda desa itu                                                       
ibfa_001_0161musim gugur telah tiba  di kota ini                                                              
ibfa_001_0162daun-daun kering itu jatuh  tertiup angin                                                        
ibfa_001_0163belum lama ini  ada berita buruk                                                                 
ibfa_001_0164di jaman sekarang ini  semua serba cepat                                                         
ibfa_001_0165ayah tidak bisa datang ke undangan                                                               
ibfa_001_0166sudah lama  dia pindah kos ke sana                                                               
ibfa_001_0167rumahnya memang tidak aman  dan kotor                                                            
ibfa_001_0168kata-kata laki-laki itu  romantis sekali                                                         
ibfa_001_0169di sana  dia sedang belajar hidup                                                                
ibfa_001_0170lowongan-lowongan  kerja  sekarang susah dicari                                                  
ibfa_001_0171dia sudah lama mendiami tempat ini                                                               
ibfa_001_0172rumah itu  memang sudah terkesan horor                                                           
ibfa_001_0173pemilik rumah itu  ramah dan baik kepadaku                                                       
ibfa_001_0174aku datang ke sini  setengah jam lalu                                                            
ibfa_001_0175ibuku selalu menasihatiku  ketika aku salah                                                      
ibfa_001_0176awal bulan ini  kita akan ke luar negeri                                                         
ibfa_001_0177banyak temanku yang kuliah  di luar negeri                                                       
ibfa_001_0178sudah sejak tadi pagi  aku di sini                                                               
ibfa_001_0179menunggu kereta yang terlambat itu  membosankan                                                  
ibfa_001_0180suara penyiar radio itu  enak di dengar                                                          
ibfa_001_0181ibu pergi ke pasar  untuk membeli ikan                                                           
ibfa_001_0182ayah membeli kacang  di toko sebelah rumah                                                       
ibfa_001_0183saya lupa makan siang  karena mengerjakan tugas                                                  
ibfa_001_0184adik senang sekali berenang  di tepi pantai                                                      
ibfa_001_0185dari tahun ke tahun  cadangan minyak dunia  semakin berkurang                                    
ibfa_001_0186pola konsumsi bahan bakar minyak  cenderung naik  setiap tahunnya                                
ibfa_001_0187produksi bahan bakar minyak  terus menurun  dari tahun ke tahun                                  
ibfa_001_0188beras  memiliki komposisi kimia  yang berbeda-beda                                               
ibfa_001_0189hidup ini tidak sempurna  sehingga kita harus berusaha  memberikan yang terbaik                  
ibfa_001_0190beras pecah kulit  mengandung vitamin lebih besar  daripada beras giling                         
ibfa_001_0191minyak tanah  merupakan energi utama  yang digunakan oleh masyarakat tingkat bawah               
ibfa_001_0192saya dan ibu  menumpang becak ayah  ke pasar                                                     
ibfa_001_0193sejak usia delapan tahun  ia telah ditinggalkan ayahnya                                          
ibfa_001_0194hal itu disebabkan perilakunya sendiri  yang kurang menyenangkan                                 
ibfa_001_0195ayahku rajin bekerja  agar dapat memenuhi kebutuhan hidup                                        
ibfa_001_0196saat ini  teknologi berkembang sangat pesat  dan membantu pekerjaan manusia                      
ibfa_001_0197berbuat baik  kepada orang lain  merupakan tindakan terpuji                                      
ibfa_001_0198berita yang saya dengar  mengabarkan  bahwa kurikulum akan segera diubah                         
ibfa_001_0199yang bersalah  harus dijatuhi hukuman  sesuai dengan kejahatan yang dilakukan                    
ibfa_001_0200buku yang dipinjam dari perpustakaan  harap dikembalikan                                         
ibfb_002_0201ia diperingatkan  oleh kepala sekolah  agar tidak mengulangi perbuatannya                        
ibfb_002_0202operasi jantung yang dijalani nenek  berdampak buruk                                             
ibfb_002_0203manusia selalu ingin berinteraksi  dan hidup dengan masyarakat  di sekitarnya                    
ibfb_002_0204rumah yang besar itu  terbakar  dan orang yang di dalam rumah  sedang tertidur                   
ibfb_002_0205kita harus bisa  mengubah kebiasaan yang buruk                                                   
ibfb_002_0206pertemuan itu  telah menghasilkan ide-ide cemerlang                                              
ibfb_002_0207saya menyukainya  karena sifat-sifatnya sangat baik                                              
ibfb_002_0208pegawai rumah sakit  harus ramah  saat melayani pasien                                           
ibfb_002_0209manusia membutuhkan makanan yang sehat  dan bergizi                                              
ibfb_002_0210seorang di antara pembantunya  pulang ke kampung kemarin                                         
ibfb_002_0211seorang pun  tidak ada yang bisa menghindar  dari pengawasannya                                  
ibfb_002_0212tendangan orang itu  berhasil mematahkan perlawanan musuh                                        
ibfb_002_0213sang raja menyempatkan diri  untuk berbincang-bincang  dengan masyarakat                         
ibfb_002_0214buku matematika itu  harganya sangat mahal                                                       
ibfb_002_0215usul ini  merupakan suatu perkembangan  yang menggembirakan                                      
ibfb_002_0216pemerintah merencanakan  akan menambah jumlah kereta api  saat hari liburan                      
ibfb_002_0217sopir mobil itu  melarikan diri  setelah terjadi kecelakaan                                      
ibfb_002_0218dalam setahun  ia berhasil menerbitkan  lima judul buku                                          
ibfb_002_0219buku ini  menceritakan perseteruan  dalam rumah tangga                                           
ibfb_002_0220dokter itu mengatakan  bahwa penyakit itu  sangat berbahaya                                      
ibfb_002_0221kehidupan anak  belum tentu lebih baik  daripada orang tuanya                                    
ibfb_002_0222banyak tombol-tombol  yang dapat anda gunakan                                                    
ibfb_002_0223dalam hidup ini  kita harus saling tolong-menolong                                               
ibfb_002_0224komputer menjadi sangat menarik  dan semakin canggih                                             
ibfb_002_0225saya mengetahui  bahwa ia sangat kecewa                                                          
ibfb_002_0226ayah membeli bola  untuk adik dan saya                                                           
ibfb_002_0227saya tinggal di kota  tempat ibu saya bekerja                                                    
ibfb_002_0228anak-anak sudah datang  sedangkan ibu guru belum datang                                          
ibfb_002_0229jangan pernah mengeluh  dan menggerutu atas musibah  yang menimpa kita                           
ibfb_002_0230telur  dan daging ayam  sangat bermanfaat  bagi tubuh                                            
ibfb_002_0231kakak menolong anak itu  dengan memapahnya  ke pinggir jalan                                     
ibfb_002_0232seluruh komponen ikut berpartisipasi  dalam kegiatan tersebut                                    
ibfb_002_0233saudaralah yang harus bertanggung jawab  dalam soal itu                                          
ibfb_002_0234anak itu sebenarnya pandai  akan tetapi  keluarganya kurang memperhatikan                        
ibfb_002_0235adik mengajak kakak  dan temannya  naik tangga                                                   
ibfb_002_0236kebutuhan air minum  merupakan faktor utama  bagi manusia                                        
ibfb_002_0237acara pernikahannya  akan dilaksanakan  di gedung yang megah                                     
ibfb_002_0238sudah bertahun-tahun  dia tidak pulang  ke rumah                                                 
ibfb_002_0239sekolah adalah tempat bagi seseorang  untuk menuntut ilmu                                        
ibfb_002_0240dia melanggar peraturan sekolah  yang telah disepakati sebelumnya                                
ibfb_002_0241parameter-parameter ini  yang akan menjadi bahan pertimbangan                                    
ibfb_002_0242daerah itu sering terkena banjir  sehingga banyak yang sakit malaria                             
ibfb_002_0243para mahasiswa sedang mempersiapkan diri  untuk menghadapi  ujian tengah semester                
ibfb_002_0244ayah tidak bisa datang  ke undangan pernikahan saudara                                           
ibfb_002_0245sudah lama dia pindah rumah  ke kota lain                                                        
ibfb_002_0246tempat tinggal anak ayam  seharusnya dibuat sehangat mungkin                                     
ibfb_002_0247kata-kata yang disampaikan orang itu  romantis sekali                                            
ibfb_002_0248di sana dia sedang belajar  tentang makna kehidupan                                              
ibfb_002_0249paman dan bibi  sudah banyak makan garam kehidupan                                               
ibfb_002_0250dia sudah lama mendiami  tempat yang seram ini                                                   
ibfb_002_0251rumah itu memang terkesan rindang  dan nyaman                                                    
ibfb_002_0252pemilik rumah mewah itu  sangat ramah kepadaku                                                   
ibfb_002_0253ayah dan ibu  selalu mengajarkan diriku  agar berbuat baik kepada sesama                         
ibfb_002_0254menunggu orang lain tanpa kepastian  itu  sungguh membosankan                                    
ibfb_002_0255suara penyanyi itu  sangat merdu  dan banyak yang menyukainya                                    
ibfb_002_0256ayah dan adik  mencari ikan di laut                                                              
ibfb_002_0257hari ini aku jalan-jalan ke taman  dengan teman-temanku                                          
ibfb_002_0258siang ini aku di rumah saja  karena ibuku melarang aku pergi                                     
ibfb_002_0259orang itu mencari ikan di sungai  sejak pagi                                                     
ibfb_002_0260siang ini  andi akan pergi  ke bengkel                                                           
ibfb_002_0261sepatu merah yang lucu ini  hadiah dari ayahku                                                   
ibfb_002_0262aku pernah ke istana boneka  bersama teman-temanku                                               
ibfb_002_0263bibi membuatkan roti pukis  untuk kami sekeluarga                                                
ibfb_002_0264anak kecil itu  belum bisa berjalan sendiri  dengan lancar                                       
ibfb_002_0265jalanan kecil ini  menuju ke sungai  yang arusnya cukup deras                                    
ibfb_002_0266di sungai itu  banyak sekali ikannya  dan banyak anak kecil  berenang di sana                    
ibfb_002_0267ikan itu belum terjual juga  hingga sekarang                                                     
ibfb_002_0268nenekku sudah meninggal dunia  setahun yang lalu                                                 
ibfb_002_0269pelajar sekolah dasar  diminta untuk periksa gigi  setiap enam bulan sekali                      
ibfb_002_0270para pegawai  menghadiri pelatihan  yang diselenggarakan  oleh perusahaan terkemuka              
ibfb_002_0271penjual roti tawar itu  ternyata masih sekolah                                                   
ibfb_002_0272banyak anak putus sekolah  karena masalah ekonomi                                                
ibfb_002_0273para pejabat  sebaiknya juga  memikirkan nasib rakyat kecil                                      
ibfb_002_0274alat komunikasi  wajib dimatikan  saat ujian berlangsung                                         
ibfb_002_0275tas barunya  baru saja hilang  di kereta api                                                     
ibfb_002_0276aku pergi ke kota  naik bus ekonomi                                                              
ibfb_002_0277anak kecil itu menangis  karena mencari ibunya                                                   
ibfb_002_0278kakak senang mengirimkan karyanya  ke redaksi majalah                                            
ibfb_002_0279adik membeli sepeda  dengan uang tabungannya                                                     
ibfb_002_0280ibu guru  membeli sepeda motor baru  untuk anaknya                                               
ibfb_002_0281pak dosen  memberi tugas lagi  hari ini                                                          
ibfb_002_0282setiap mahasiswa  diwajibkan untuk mengambil  mata kuliah jurusan                                
ibfb_002_0283bapak tua itu  suka menolong  orang-orang yang kesusahan                                         
ibfb_002_0284sudah sepantasnya  kita bangga  dengan hasil karya  bangsa ini                                   
ibfb_002_0285pesawat terbang itu  jatuh di sekitar persawahan                                                 
ibfb_002_0286korban kecelakaan itu  dibawa ke rumah sakit                                                     
ibfb_002_0287pelayanan di rumah sakit itu  sangat baik                                                        
ibfb_002_0288di rumah makan ini  makanannya lezat-lezat                                                       
ibfb_002_0289aku terjatuh dari tangga  dan kakiku terkilir                                                    
ibfb_002_0290hari ini hari senin  dan besok  hari selasa                                                      
ibfb_002_0291banyak kucing di perumahanku  yang lucu-lucu                                                     
ibfb_002_0292sepeda motornya  mogok di jalan  yang sepi itu                                                   
ibfb_002_0293jalanan menuju desaku  banyak yang berlubang  dan sampai saat ini  belum diperbaiki              
ibfb_002_0294pemilihan umum  diadakan setiap lima tahun  sekali                                               
ibfb_002_0295buku catatanku yang hilang itu  menyimpan sejarah bangsa kita                                    
ibfb_002_0296kulitku gatal  terkena bulu ulat  di pohon mangga                                                
ibfb_002_0297nona muda itu  baru pulang  dari luar negeri                                                     
ibfb_002_0298adik makan bubur ayam  setiap pagi hari                                                          
ibfb_002_0299setiap manusia  sebaiknya  mengucapkan terima kasih  saat diberi pertolongan                     
ibfb_002_0300ibu memasak sarapan pagi  sebelum berangkat kerja                                                
ibfb_002_0301gedung megah itu  akan diresmikan  besok kamis                                                   
ibfb_002_0302ujian tengah semester  akan dilaksanakan  bulan depan                                            
ibfb_002_0303penelitian ini  akan selesai  tiga bulan lagi                                                    
ibfb_002_0304kecelakaan yang mengenaskan kemarin  memakan korban dua orang                                    
ibfb_002_0305dua orang itu  terlihat mencurigakan  karena pakaian yang dikenakan  sungguh menyeramkan         
ibfb_002_0306hari ini  saya akan menjemput kakak  di bandara                                                  
ibfb_002_0307bendera bangsa kita  berwarna merah  putih  dan biru                                             
ibfb_002_0308air hujan itu  menggenang di pinggir jalan                                                       
ibfb_002_0309para pemimpin negeri ini  telah berusaha  dengan kemampuannya                                    
ibfb_002_0310jemuranku sudah dua hari belum kering  karena hujan  yang tak kunjung reda                       
ibfb_002_0311setiap sabtu  kami pergi  ke panti asuhan                                                        
ibfb_002_0312dosen waliku  sedang mengikuti seminar  di luar kota                                             
ibfb_002_0313nanti saya akan menemuinya  di kampus  dan menyampaikan semuanya                                 
ibfb_002_0314seekor ikan besar melintas di ketinggian tujuh ribu kaki                                         
ibfb_002_0315pemerintah akan segera membuka lahan penghijauan baru                                            
ibfb_002_0316kecelakaan tersebut telah menewaskan banyak warga sipil                                          
ibfb_002_0317aksi bakar diri berlangsung di dekat sebuah biara                                                
ibfb_002_0318ada sebuah mobil mini dengan kapasitas dua orang                                                 
ibfb_002_0319kepala sekolah membentuk pedoman pembelajaran baru                                               
ibfb_002_0320tiga daerah tepi pantai menjadi target serangan militer                                          
ibfb_002_0321pantai itu menawarkan keindahan alam yang memukau                                                
ibfb_002_0322gedung tersebut memiliki arsitektur yang sangat unik                                             
ibfb_002_0323gedung pusat olahraga air terbesar ini milik negara                                              
ibfb_002_0324seorang perempuan dituduh membuat kerusakan lingkungan                                           
ibfb_002_0325sebuah pesawat mengalami kecelakaan setelah dihantam badai                                       
ibfb_002_0326tujuh orang menderita luka ringan dalam peristiwa itu                                            
ibfb_002_0327warga korban banjir mengungsi di tempat penampungan                                              
ibfb_002_0328karya anak bangsa ini harus dihargai tinggi oleh negara                                          
ibfb_002_0329para siswa harus dilatih berpikir kritis sejak dini                                              
ibfb_002_0330jumlah lulusan mahasiswa teknik meningkat setiap tahunnya                                        
ibfb_002_0331paman menunggu bibi yang sedang memasak di dapur                                                 
ibfb_002_0332adik ipar ayah dimarahi nenek karena pulang malam                                                
ibfb_002_0333sepanjang jalan itu dipenuhi pedagang kaki lima                                                  
ibfb_002_0334adik makan diganggu oleh kakak yang jahil                                                        
ibfb_002_0335saya sibuk membantu ayah memasang lampu                                                          
ibfb_002_0336ibu berusaha membangunkan kakak yang sedang tidur                                                
ibfb_002_0337nenek tertidur pulas sampai pagi hari                                                            
ibfb_002_0338sepeda tua milik bapak harus dijual murah                                                        
ibfb_002_0339gereja tua di pinggir jalan itu dirobohkan oleh warga                                            
ibfb_002_0340tas baru dari kakak cerah sekali warnanya                                                        
ibfb_002_0341singkong harus difermentasi agar menjadi tape                                                    
ibfb_002_0342ragi adalah bahan utama untuk mengembangkan roti                                                 
ibfb_002_0343rambut yang panjang harus dirawat lebih rajin                                                    
ibfb_002_0344sudah satu bulan nenek menderita sakit malaria                                                   
ibfb_002_0345tidur terlalu banyak menyebabkan tubuh tidak sehat                                               
ibfb_002_0346istirahat cukup akan mempercepat penyembuhan sakit                                               
ibfb_002_0347raut wajahnya sangat tidak menyenangkan                                                          
ibfb_002_0348susah senang kita harus selalu bersama                                                           
ibfb_002_0349perbuatan baik seseorang akan kembali pada dirinya sendiri                                       
ibfb_002_0350sudah saatnya musuh menyerah pada kita                                                           
ibfb_002_0351tidak dibenarkan menyerang pihak yang lemah                                                      
ibfb_002_0352berusaha menjadi lebih baik itu adalah hal terpuji                                               
ibfb_002_0353berusahalah untuk bangkit setelah terjatuh kawan                                                 
ibfb_002_0354pak haji sengaja memarahi anaknya yang nakal                                                     
ibfb_002_0355dia susah sekali melupakan kejadian pahit itu                                                    
ibfb_002_0356sudah saatnya yang muda berbicara lantang                                                        
ibfb_002_0357kita sudah jauh dari zaman purba kala                                                            
ibfb_002_0358tidak baik berburuk sangka pada orang lain                                                       
ibfb_002_0359anak kecil itu sakit keras sampai satu bulan                                                     
ibfb_002_0360korban kecelakaan itu segera dibawa ke rumah sakit                                               
ibfb_002_0361melupakan kejadian mencekam itu tidak mudah                                                      
ibfb_002_0362ibu memasak nasi di dapur seorang diri                                                           
ibfb_002_0363ayah mencangkul di sawah sampai siang hari                                                       
ibfb_002_0364adik rajin membaca dan menulis buku pelajaran                                                    
ibfb_002_0365dia berangkat ke sekolah naik sepeda setiap pagi                                                 
ibfb_002_0366nenek ke pasar dengan delman setiap harinya                                                      
ibfb_002_0367saya jalan-jalan ke kota bersama ayah                                                            
ibfb_002_0368kakak pergi ke salon sore ini tanpa ditemani ibu                                                 
ibfb_002_0369pagi ini hujan deras turun di kota kelahiranku                                                   
ibfb_002_0370di musim penghujan di mana-mana terjadi banjir                                                   
ibfb_002_0371dia yang kudamba sekarang sudah lulus kuliah                                                     
ibfb_002_0372kakak akan melanjutkan sekolah di luar negeri                                                    
ibfb_002_0373kakak  memasak nasi goreng kesukaan ibu                                                          
ibfb_002_0374sudah lama saya tidak pulang ke kampung halaman                                                  
ibfb_002_0375mereka berdua sekarang berada di luar negeri                                                     
ibfb_002_0376kami  tidak suka makan buah durian terlalu banyak                                                
ibfb_002_0377kakak pergi ke perantauan besok lusa bersama suaminya                                            
ibfb_002_0378kemarin terjadi kecelakaan di jalan raya depan sekolahku                                         
ibfb_002_0379saya bercita-cita menjadi dokter hewan terkenal                                                  
ibfb_002_0380dia belajar rajin membaca buku setiap hari                                                       
ibfb_002_0381ibu guru itu selalu berangkat ke sekolah pagi hari                                               
ibfb_002_0382gadis itu rajin menabung untuk membayar uang sekolah                                             
ibfb_002_0383dia berniat liburan ke luar kota bulan depan                                                     
ibfb_002_0384saya akan berusaha  untuk menyelesaikan tugas ini sebaik-baiknya                                 
ibfb_002_0385adikku sedang bermain kelereng bersama temannya                                                  
ibfb_002_0386ibu menjahitkan baju baru untukku dan adik                                                       
ibfb_002_0387anak itu berjanji tidak akan mengulangi kesalahannya                                             
